"Rank","name","pop2022","pop2021","GrowthRate","area","Density"
"92","Azerbaijan","10358.0740","10312.9920","1.0044","86600","119.6082"
"93","Portugal","10270.8650","10290.1030","0.9981","92090","111.5307"
"94","Papua New Guinea","10142.6190","9949.4370","1.0194","462840","21.9139"
"95","Hungary","9967.3080","9709.7860","1.0265","93028","107.1431"
"96","Tajikistan","9952.7870","9750.0640","1.0208","143100","69.5513"
"97","Belarus","9534.9540","9578.1670","0.9955","207600","45.9295"
"98","United Arab Emirates","9441.1290","9365.1450","1.0081","83600","112.9322"
"99","Israel","9038.3090","8900.0590","1.0155","20770","435.1617"
"100","Austria","8939.6170","8922.0820","1.0020","83871","106.5877"
"101","Togo","8848.6990","8644.8290","1.0236","56785","155.8281"
"102","Switzerland","8740.4720","8691.4060","1.0056","41284","211.7157"
"103","Sierra Leone","8605.7180","8420.6410","1.0220","71740","119.9570"
"104","Laos","7529.4750","7425.0570","1.0141","236800","31.7968"
"105","Hong Kong","7488.8650","7494.5780","0.9992","1104","6783.3922"
"106","Serbia","7221.3650","7296.7690","0.9897","88361","81.7257"
"107","Nicaragua","6948.3920","6850.5400","1.0143","130373","53.2962"
"108","Libya","6812.3410","6735.2770","1.0114","1759540","3.8717"
"109","Bulgaria","6781.9530","6885.8680","0.9849","110879","61.1654"
"110","Paraguay","6780.7440","6703.7990","1.0115","406752","16.6705"
"111","Kyrgyzstan","6630.6230","6527.7430","1.0158","199951","33.1612"
"112","Turkmenistan","6430.7700","6341.8550","1.0140","488100","13.1751"
"113","El Salvador","6336.3920","6314.1670","1.0035","21041","301.1450"
"114","Singapore","5975.6890","5941.0600","1.0058","710","8416.4634"
"115","Republic of the Congo","5970.4240","5835.8060","1.0231","342000","17.4574"
"116","Denmark","5882.2610","5854.2400","1.0048","43094","136.4984"
"117","Slovakia","5643.4530","5447.6220","1.0359","49037","115.0856"
"118","Central African Republic","5579.1440","5457.1540","1.0224","622984","8.9555"
"119","Finland","5540.7450","5535.9920","1.0009","338424","16.3722"
"120","Scotland","5504.6510","","1.0035","77933","70.6331"
"121","Lebanon","5489.7390","5592.6310","0.9816","10452","525.2334"
"122","Norway","5434.3190","5403.0210","1.0058","323802","16.7828"
"123","Liberia","5302.6810","5193.4160","1.0210","111369","47.6136"
"124","Palestine","5250.0720","5133.3920","1.0227","6220","844.0630"
"125","New Zealand","5185.2880","5129.7270","1.0108","270467","19.1716"
"126","Costa Rica","5180.8290","5153.9570","1.0052","51100","101.3861"
"127","Ireland","5023.1090","4986.5260","1.0073","70273","71.4799"
"128","Mauritania","4736.1390","4614.9740","1.0263","1030700","4.5951"
