Country,Variable,Value
Brunei Darussalam,2016,8.38
Bhutan,2016,2.49
Botswana,2016,21.03
Central African Republic,2016,5.65
Canada,2016,7
Switzerland,2016,4.92
Channel Islands,2016,7.74
Chile,2016,6.74
China,2016,4.53
Cote d'Ivoire,2016,2.6
Cameroon,2016,3.58
"Congo, Dem. Rep.",2016,4.48
"Congo, Rep.",2016,20.56
Colombia,2016,8.69
Comoros,2016,8.1
Cabo Verde,2016,12.01
Costa Rica,2016,8.6
Cuba,2016,2
Cyprus,2016,12.95
Czech Republic,2016,3.95
Germany,2016,4.12
Djibouti,2016,26.19
Denmark,2016,5.99
Dominican Republic,2016,7.28
Algeria,2016,10.2
Ecuador,2016,4.6
"Egypt, Arab Rep.",2016,12.41
Eritrea,2016,5.9
Spain,2016,19.63
Estonia,2016,6.76
Ethiopia,2016,2.29
Finland,2016,8.82
Fiji,2016,4.32
France,2016,10.05
Gabon,2016,20.67
United Kingdom,2016,4.81
Georgia,2016,16.6
Ghana,2016,5.53
Guinea,2016,4.88
Gambia,2016,9.5
Guinea-Bissau,2016,5.95
Equatorial Guinea,2016,8.63
Greece,2016,23.54
Guatemala,2016,2.58
Guam,2016,5.4
Guyana,2016,13.46
"Hong Kong SAR, China",2016,3.39
Honduras,2016,6.73
Croatia,2016,13.1
Haiti,2016,13.93
Hungary,2016,5.11
Indonesia,2016,4.3
India,2016,5.42
Ireland,2016,8.37
"Iran, Islamic Rep.",2016,12.62
Iraq,2016,10.82
Iceland,2016,2.98
Israel,2016,4.8
Italy,2016,11.69
Jamaica,2016,13.19
Jordan,2016,15.28
Japan,2016,3.1
Kazakhstan,2016,4.96
Kenya,2016,2.76
Kyrgyz Republic,2016,7.21
Cambodia,2016,0.72
"Korea, Rep.",2016,3.65
Kuwait,2016,2.16
Lebanon,2016,9.78
Liberia,2016,3.08
Libya,2016,19.53
St. Lucia,2016,19.65
Sri Lanka,2016,4.24
Lesotho,2016,23.48
Lithuania,2016,7.86
Luxembourg,2016,6.29
Latvia,2016,9.64
"Macao SAR, China",2016,1.94
Morocco,2016,9.3
Moldova,2016,4.02
Madagascar,2016,1.8
Maldives,2016,6.12
Mexico,2016,3.86
North Macedonia,2016,23.72
Mali,2016,7.57
Malta,2016,4.69
Myanmar,2016,1.18
Montenegro,2016,17.72
Mongolia,2016,7.24
Mozambique,2016,3.45
Mauritania,2016,10.26
Mauritius,2016,6.81
Malawi,2016,5.82
Malaysia,2016,3.44
North America,2016,5.1
Namibia,2016,23.35
New Caledonia,2016,14.69
Niger,2016,0.53
Nigeria,2016,7.06
Nicaragua,2016,3.9
Netherlands,2016,6.01
Norway,2016,4.68
Nepal,2016,2.87
New Zealand,2016,5.15
Oman,2016,3.27
Pakistan,2016,3.78
Panama,2016,3.26
Peru,2016,3.74
Philippines,2016,2.7
Papua New Guinea,2016,2.48
Poland,2016,6.16
Puerto Rico,2016,11.8
"Korea, Dem. People's Rep.",2016,2.76
Portugal,2016,11.07
Paraguay,2016,5.25
West Bank and Gaza,2016,23.94
French Polynesia,2016,12.18
Qatar,2016,0.15
Romania,2016,5.9
Russian Federation,2016,5.56
Rwanda,2016,1.14
South Asia,2016,5.15
Saudi Arabia,2016,5.65
Sudan,2016,17.52
Senegal,2016,4.46
Singapore,2016,4.08
Solomon Islands,2016,0.7
Sierra Leone,2016,4.66
El Salvador,2016,4.42
Somalia,2016,18.89
Serbia,2016,15.26
South Sudan,2016,12.3
Sao Tome and Principe,2016,13.89
Suriname,2016,7.92
Slovak Republic,2016,9.67
Slovenia,2016,8
Sweden,2016,6.99
Eswatini,2016,22.72
Syrian Arab Republic,2016,8.73
Chad,2016,1.1
Togo,2016,2.97
Thailand,2016,0.69
Tajikistan,2016,6.9
Turkmenistan,2016,4.17
Timor-Leste,2016,4.66
Tonga,2016,2.57
Trinidad and Tobago,2016,3.21
Tunisia,2016,15.56
Turkiye,2016,10.84
Tanzania,2016,2.16
Uganda,2016,1.92
Ukraine,2016,9.35
Uruguay,2016,7.84
United States,2016,4.87
Uzbekistan,2016,5.2
St. Vincent and the Grenadines,2016,19.11
"Venezuela, RB",2016,5.32
Virgin Islands (U.S.),2016,12.68
Vietnam,2016,1.85
Vanuatu,2016,1.78
Samoa,2016,8.31
"Yemen, Rep.",2016,13.43
South Africa,2016,26.54
Zambia,2016,10.87
Zimbabwe,2016,4.79
Afghanistan,2017,11.18
Angola,2017,7.41
Albania,2017,13.62
United Arab Emirates,2017,2.46
Argentina,2017,8.35
Armenia,2017,17.7
Australia,2017,5.59
Austria,2017,5.5
Azerbaijan,2017,5
Burundi,2017,1.59
Belgium,2017,7.09
Benin,2017,1.64
Burkina Faso,2017,4.56
Bangladesh,2017,4.37
Bulgaria,2017,6.16
Bahrain,2017,1.18
Bahamas,2017,9.8
Bosnia and Herzegovina,2017,20.53
Belarus,2017,5.65
Belize,2017,6.6
Bolivia,2017,3.65
Brazil,2017,12.82
Barbados,2017,8.62
Brunei Darussalam,2017,9.32
Bhutan,2017,2.45
Botswana,2017,21.57
Central African Republic,2017,5.65
Canada,2017,6.34
Switzerland,2017,4.8
Channel Islands,2017,7.14
Chile,2017,6.96
China,2017,4.44
Cote d'Ivoire,2017,3.27
Cameroon,2017,3.6
"Congo, Dem. Rep.",2017,4.47
"Congo, Rep.",2017,20.56
Colombia,2017,8.87
Comoros,2017,8.09
Cabo Verde,2017,12.24
Costa Rica,2017,8.14
Cuba,2017,1.7
Cyprus,2017,11.05
Czech Republic,2017,2.89
Germany,2017,3.75
Djibouti,2017,26.06
Denmark,2017,5.83
Dominican Republic,2017,5.83
Algeria,2017,10.33
Ecuador,2017,3.84
"Egypt, Arab Rep.",2017,11.74
Eritrea,2017,5.94
Spain,2017,17.22
Estonia,2017,5.76
Ethiopia,2017,2.3
Finland,2017,8.64
Fiji,2017,4.28
France,2017,9.41
Gabon,2017,20.72
United Kingdom,2017,4.33
Georgia,2017,13.94
Ghana,2017,4.22
Guinea,2017,4.91
Gambia,2017,9.48
Guinea-Bissau,2017,5.99
Equatorial Guinea,2017,8.65
Greece,2017,21.49
Guatemala,2017,2.46
Guam,2017,5.43
Guyana,2017,13.75
"Hong Kong SAR, China",2017,3.13
Honduras,2017,5.53
Croatia,2017,11.21
Haiti,2017,13.88
Hungary,2017,4.16
Indonesia,2017,3.88
India,2017,5.36
Ireland,2017,6.71
"Iran, Islamic Rep.",2017,12.23
Iraq,2017,13.02
Iceland,2017,2.74
Israel,2017,4.22
Italy,2017,11.21
Jamaica,2017,11.63
Jordan,2017,18.14
Japan,2017,2.8
Kazakhstan,2017,4.9
Kenya,2017,3.51
Kyrgyz Republic,2017,6.89
