Country,Variable,Value
North America,2020,8.21
Namibia,2020,21.45
New Caledonia,2020,16.43
Niger,2020,0.62
Nigeria,2020,9.71
Nicaragua,2020,6.08
Netherlands,2020,3.82
Norway,2020,4.42
Nepal,2020,4.72
New Zealand,2020,4.59
Oman,2020,2.94
Pakistan,2020,4.3
Panama,2020,12.85
Peru,2020,7.18
Philippines,2020,2.52
Papua New Guinea,2020,2.6
Poland,2020,3.16
Puerto Rico,2020,8.89
"Korea, Dem. People's Rep.",2020,2.92
Portugal,2020,6.79
Paraguay,2020,7.55
West Bank and Gaza,2020,25.89
French Polynesia,2020,14.1
Qatar,2020,0.21
Romania,2020,5.03
Russian Federation,2020,5.59
Rwanda,2020,1.49
South Asia,2020,7.24
Saudi Arabia,2020,7.45
Sudan,2020,19.65
Senegal,2020,3.62
Singapore,2020,4.1
Solomon Islands,2020,0.92
Sierra Leone,2020,5.2
El Salvador,2020,6.25
Somalia,2020,19.72
Serbia,2020,9.01
South Sudan,2020,14.03
Sao Tome and Principe,2020,15.75
Suriname,2020,9.78
Slovak Republic,2020,6.69
Slovenia,2020,4.97
Sweden,2020,8.29
Eswatini,2020,25.51
Syrian Arab Republic,2020,10.26
Chad,2020,1.74
Togo,2020,3.94
Thailand,2020,1.1
Tajikistan,2020,7.58
Turkmenistan,2020,4.95
Timor-Leste,2020,4.91
Tonga,2020,3.63
Trinidad and Tobago,2020,4.57
Tunisia,2020,16.59
Turkiye,2020,13.11
Tanzania,2020,2.53
Uganda,2020,2.77
Ukraine,2020,9.13
Uruguay,2020,10.35
United States,2020,8.05
Uzbekistan,2020,7.04
St. Vincent and the Grenadines,2020,21
"Venezuela, RB",2020,6.63
Virgin Islands (U.S.),2020,13.55
Vietnam,2020,2.39
Vanuatu,2020,2.12
Samoa,2020,9.15
"Yemen, Rep.",2020,13.39
South Africa,2020,29.22
Zambia,2020,12.85
Zimbabwe,2020,5.35
