Rank,name,pop2022,pop2021,GrowthRate,area,Density,,,,,,,,,,,,
82,Belgium,11655.93,11611.419,0.38,30528,382,,,,,,,,,,,,
83,Haiti,11584.996,11447.569,1.20,27750,417,,,,,,,,,,,,
84,Jordan,11285.869,11148.278,1.23,89342,126,,,,,,,,,,,,
85,Dominican Republic,11228.821,11117.873,1.00,48671,231,,,,,,,,,,,,
86,Cuba,11212.191,11256.372,-0.39,109884,102,,,,,,,,,,,,
87,South Sudan,10913.164,10748.272,1.53,619745,18,,,,,,,,,,,,
88,Sweden,10549.347,10467.097,0.79,450295,23,,,,,,,,,,,,
89,Czech Republic,10493.986,10510.751,-0.16,78865,133,,,,,,,,,,,,
90,Honduras,10432.86,10278.345,1.50,112492,93,,,,,,,,,,,,
91,Greece,10384.971,10445.365,-0.58,131990,79,,,,,,,,,,,,
92,Azerbaijan,10358.074,10312.992,0.44,86600,120,,,,,,,,,,,,
93,Portugal,10270.865,10290.103,-0.19,92090,112,,,,,,,,,,,,
94,Papua New Guinea,10142.619,9949.437,1.94,462840,22,,,,,,,,,,,,
95,Hungary,9967.308,9709.786,2.65,93028,107,,,,,,,,,,,,
96,Tajikistan,9952.787,9750.064,2.08,143100,70,,,,,,,,,,,,
97,Belarus,9534.954,9578.167,-0.45,207600,46,,,,,,,,,,,,
98,United Arab Emirates,9441.129,9365.145,0.81,83600,113,,,,,,,,,,,,
99,Israel,9038.309,8900.059,1.55,20770,435,,,,,,,,,,,,
100,Austria,8939.617,8922.082,0.20,83871,107,,,,,,,,,,,,
101,Togo,8848.699,8644.829,2.36,56785,156,,,,,,,,,,,,
102,Switzerland,8740.472,8691.406,0.56,41284,212,,,,,,,,,,,,
103,Sierra Leone,8605.718,8420.641,2.20,71740,120,,,,,,,,,,,,
104,Laos,7529.475,7425.057,1.41,236800,32,,,,,,,,,,,,
105,Hong Kong,7488.865,7494.578,-0.08,1104,6783,,,,,,,,,,,,
106,Serbia,7221.365,7296.769,-1.03,88361,82,,,,,,,,,,,,
107,Nicaragua,6948.392,6850.54,1.43,130373,53,,,,,,,,,,,,
108,Libya,6812.341,6735.277,1.14,1759540,4,,,,,,,,,,,,
109,Bulgaria,6781.953,6885.868,-1.51,110879,61,,,,,,,,,,,,
110,Paraguay,6780.744,6703.799,1.15,406752,17,,,,,,,,,,,,
111,Kyrgyzstan,6630.623,6527.743,1.58,199951,33,,,,,,,,,,,,
112,Turkmenistan,6430.77,6341.855,1.40,488100,13,,,,,,,,,,,,
113,El Salvador,6336.392,6314.167,0.35,21041,301,,,,,,,,,,,,
114,Singapore,5975.689,5941.06,0.58,710,8416,,,,,,,,,,,,
115,Republic of the Congo,5970.424,5835.806,2.31,342000,17,,,,,,,,,,,,
116,Denmark,5882.261,5854.24,0.48,43094,136,,,,,,,,,,,,
117,Slovakia,5643.453,5447.622,3.59,49037,115,,,,,,,,,,,,
118,Central African Republic,5579.144,5457.154,2.24,622984,9,,,,,,,,,,,,
119,Finland,5540.745,5535.992,0.09,338424,16,,,,,,,,,,,,
120,Scotland,5504.651,,0.35,77933,71,,,,,,,,,,,,
121,Lebanon,5489.739,5592.631,-1.84,10452,525,,,,,,,,,,,,
122,Norway,5434.319,5403.021,0.58,323802,17,,,,,,,,,,,,
123,Liberia,5302.681,5193.416,2.10,111369,48,,,,,,,,,,,,
124,Palestine,5250.072,5133.392,2.27,6220,844,,,,,,,,,,,,
125,New Zealand,5185.288,5129.727,1.08,270467,19,,,,,,,,,,,,
126,Costa Rica,5180.829,5153.957,0.52,51100,101,,,,,,,,,,,,
127,Ireland,5023.109,4986.526,0.73,70273,71,,,,,,,,,,,,
128,Mauritania,4736.139,4614.974,2.63,1030700,5,,,,,,,,,,,,
129,Oman,4576.298,4520.471,1.23,309500,15,,,,,,,,,,,,
130,Panama,4408.581,4351.267,1.32,75417,58,,,,,,,,,,,,
131,Kuwait,4268.873,4250.114,0.44,17818,240,,,,,,,,,,,,
132,Croatia,4030.358,4060.135,-0.73,56594,71,,,,,,,,,,,,
133,Georgia,3744.385,3757.98,-0.36,69700,54,,,,,,,,,,,,
134,Eritrea,3684.032,3620.312,1.76,117600,31,,,,,,,,,,,,
